id,.site.name,.group,had.read,load,lkl,eff.split,count.eff,count.hard,badness,importance,end.num,tempt,excluded,n.excl
1,RHIT,c.dissimilar,0,1,8,6,1,1,9,9,547,1,0,2
2,RHIT,c.dissimilar,0,0,10,NA,NA,NA,10,10,NA,1,0,2
3,RHIT,c.dissimilar,1,0,1,NA,NA,NA,7,8,NA,0,0,2
4,RHIT,c.dissimilar,1,1,3,3,6,4,8,6,543,0,0,2
5,RHIT,c.dissimilar,0,0,6,NA,NA,NA,6,3,NA,1,0,2
6,RHIT,c.dissimilar,0,1,3,3,5,6,3,7,540,1,0,2
7,RHIT,c.dissimilar,1,1,3,2,9,8,8,8,353,0,0,2
8,RHIT,c.dissimilar,1,0,7,NA,NA,NA,8,6,NA,0,0,2
9,RHIT,c.dissimilar,0,0,1,NA,NA,NA,2,5,NA,1,0,2
10,RHIT,c.dissimilar,1,0,8,NA,NA,NA,5,6,NA,0,0,2
11,RHIT,c.dissimilar,1,1,5,5,8,8,8,9,538,0,0,2
12,RHIT,c.dissimilar,0,1,5,4,8,9,6,5,548,1,0,2
13,RHIT,c.dissimilar,0,0,6,NA,NA,NA,4,6,NA,1,0,2
14,RHIT,c.dissimilar,1,1,3,5,7,9,5,6,516,0,0,2
15,RHIT,c.dissimilar,0,1,5,5,6,NA,3,3,516,1,0,2
16,RHIT,c.dissimilar,1,0,2,NA,NA,NA,2,7,NA,0,0,2
17,RHIT,c.dissimilar,0,0,3,NA,NA,NA,1,5,NA,1,0,2
18,RHIT,c.dissimilar,1,0,1,NA,NA,NA,6,2,NA,0,0,2
19,RHIT,c.dissimilar,1,1,3,3,6,7,3,8,537,0,0,2
20,RHIT,c.dissimilar,0,1,1,3,10,10,9,8,549,1,0,2
21,RHIT,c.dissimilar,0,1,4,4,6,3,8,7,510,1,0,2
22,RHIT,c.dissimilar,0,0,1,NA,NA,NA,8,3,NA,1,0,2
23,RHIT,c.dissimilar,1,1,4,3,7,5,10,10,512,0,0,2
24,RHIT,c.dissimilar,1,0,4,NA,NA,NA,8,3,NA,0,0,2
25,RHIT,c.dissimilar,0,1,0,2,7,5,6,3,540,1,0,2
26,RHIT,c.dissimilar,1,0,4,NA,NA,NA,8,9,NA,0,0,2
27,RHIT,c.dissimilar,1,1,2,3,4,4,4,6,546,0,0,2
28,RHIT,c.dissimilar,0,0,0,NA,NA,NA,8,9,NA,1,0,2
29,RHIT,c.dissimilar,0,0,4,NA,NA,NA,8,5,NA,1,0,2
30,RHIT,c.dissimilar,0,1,3,2,7,7,6,6,504,1,0,2
31,RHIT,c.dissimilar,1,0,4,NA,NA,NA,10,8,NA,0,0,2
34,RHIT,c.dissimilar,1,0,3,NA,NA,NA,9,4,NA,0,0,2
35,RHIT,c.dissimilar,0,0,4,NA,NA,NA,2,6,NA,1,0,2
36,RHIT,c.dissimilar,0,1,0,2,8,8,6,9,552,1,0,2
37,RHIT,c.dissimilar,0,1,8,4,8,9,8,8,552,1,0,2
38,RHIT,c.dissimilar,1,1,1,4,3,1,4,1,537,0,0,2
39,RHIT,c.dissimilar,0,0,0,NA,NA,NA,9,7,NA,1,0,2
40,RHIT,c.dissimilar,1,0,3,NA,NA,NA,8,4,NA,0,0,2
41,RHIT,c.dissimilar,1,1,5,2,1,1,2,8,540,0,0,2
42,RHIT,c.dissimilar,1,0,1,NA,NA,NA,8,4,NA,0,0,2
43,RHIT,c.dissimilar,0,1,4,4,8,7,5,3,513,1,0,2
44,RHIT,c.dissimilar,0,0,6,NA,NA,NA,8,3,NA,1,0,2
45,RHIT,c.dissimilar,1,0,2,NA,NA,NA,3,4,NA,0,0,2
46,RHIT,c.dissimilar,1,1,4,3,5,4,2,3,509,0,0,2
47,RHIT,c.dissimilar,0,1,1,2,9,9,3,6,531,1,0,2
48,RHIT,c.dissimilar,0,0,1,NA,NA,NA,5,7,NA,1,0,2
49,RHIT,c.dissimilar,0,0,2,NA,NA,NA,10,7,NA,1,0,2
50,RHIT,c.dissimilar,1,1,5,5,8,5,6,7,537,0,0,2
51,RHIT,c.dissimilar,1,0,1,NA,NA,NA,8,3,NA,0,0,2
52,RHIT,c.dissimilar,0,1,4,2,8,9,9,3,522,1,0,2
53,RHIT,c.dissimilar,0,0,6,NA,NA,NA,6,6,NA,1,0,2
54,RHIT,c.dissimilar,1,1,4,2,9,9,5,6,523,0,0,2
55,RHIT,c.dissimilar,0,1,1,6,10,0,1,10,538,1,0,2
56,RHIT,c.dissimilar,1,0,2,NA,NA,NA,6,3,NA,0,0,2
57,RHIT,c.dissimilar,0,0,0,NA,NA,NA,5,3,NA,1,0,2
58,RHIT,c.dissimilar,0,1,5,1,8,8,1,4,531,1,0,2
